path,blob_oid,classification,copyright_holder,source,upstream_license,relicense_status,evidence
deploy/prod/cutover.sh,7c1d923da05363903c511a18ee405fd7a3ac9041,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
deploy/prod/migrate-in.sh,07423e721b6135198d14703eeda8fc489f7122b2,evidence-required,not-established,repository-baseline:100755:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
deploy/prod/migrate-out.sh,d4d93c5f3d0e0c38173982cd512843c3ba131615,evidence-required,not-established,repository-baseline:100755:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
deploy/prod/migrate-volumes-to-nas.sh,d7afa43599d9d32c75566edd3014aae7dd210f2a,evidence-required,not-established,repository-baseline:100755:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
deploy/prod/publish-installers.sh,328cc0624dc79a33069b5ea9fe1bc8946ce06f44,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
deploy/prod/publish-r2.sh,07529e6e47124de8cafb7b4b9dbc4836bc2c4fc9,evidence-required,not-established,repository-baseline:100755:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
deploy/selfhost/.env.example,adc9162eb37c1e54e59ea611e1f75e7210385f87,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
deploy/selfhost/Caddyfile,a08a7f43c181dd421d35f01b8418e7e99eddeae1,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
deploy/selfhost/README.md,49a4c6f19c83510b93b359e0c7721e405ff7b1a2,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
deploy/selfhost/docker-compose.yml,0f76c3501a15759bcea76bdd9b100abebea5c4d3,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
desktop/dsh-plugin-cloud/assets/login-preload.cjs,f6bc9b9dbd11d0c0406535c170520a8af12ae25d,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
desktop/dsh-plugin-cloud/assets/login.html,2d925d32ca795528f0ce6259ba9c522a7a3c5e98,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
desktop/dsh-plugin-cloud/src/api.ts,e63a72c985e299445d3340d88b77618b993d946f,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
desktop/dsh-plugin-cloud/src/auth-store.ts,b7e8b5c1bbe0284ea8c0135314babd4a79599425,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
desktop/dsh-plugin-cloud/src/config.ts,1d5e8fc9de0b0733ed56aea993325b5b0e6ef0ab,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
desktop/dsh-plugin-cloud/src/index.ts,eabab995a6a595aff49bae11fbff3b7feefcf4c1,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
desktop/dsh-plugin-cloud/src/login-window.ts,97fa4133a6382ddac51a4d8f8db8d890629b63a4,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
desktop/entitlements.plist,e178aa0df28161f5be7ce72cd1870613de5c5c28,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
desktop/patches/0001-branding.patch,fb7ec50d850a2d76cd3b1fab2aedc3116a0b2fa1,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
desktop/patches/0002-update-endpoints.patch,329a69b9d49511bcbb52fac97bd1270bc4c56eb3,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
desktop/patches/0003-cloud-gate.patch,51f620ebd41ea8c39cc0161417d14d01a4a24187,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
desktop/scripts/assemble.mjs,3fb96bbbdf843fd0920d8afff59307b855197a93,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
desktop/scripts/build-win.sh,af1d71f0d144ad20f0e7b867b67c90e75d8093e7,evidence-required,not-established,repository-baseline:100755:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
desktop/scripts/bump-upstream.mjs,d49363eee41467371d0cebe9e6761a9f5bc4f7f0,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
desktop/scripts/sign-mac.sh,3f8692f1cf1160a53a652cf55febc5f3724d56b5,evidence-required,not-established,repository-baseline:100755:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
desktop/scripts/sign-win.sh,2e3e34308b62ac0711174617a67b2bc4a85a5aab,evidence-required,not-established,repository-baseline:100755:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
desktop/scripts/verify-contract.mjs,a53e72a23b33ad7a846b7d4b37f1e6083434ba08,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
desktop/scripts/verify-mac-signature.mjs,f6190040495fdae972f5d65f25473a986e1d3732,evidence-required,not-established,repository-baseline:100755:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
desktop/scripts/verify-package.mjs,af99554a4adb1262120971c19a8e4925468de546,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
desktop/scripts/wrap-signed-dmg.sh,5d56331231e61fa64a7a36fd781ec1c515d51d35,evidence-required,not-established,repository-baseline:100755:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
desktop/upstream.json,5cfee1331ea44dfcb6e9699706961c2afcae8e49,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
docs/architecture.md,d98e6cedcb9723edf5dc02c5e38db1aa7d8c39ea,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
docs/compatibility.md,9358786237f2537ba7b8b24525b1ad995f4a6318,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
docs/deploy.md,1f5876a642ad45b9d02a0544c6eced7342179e6f,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
docs/workspace-scaling.md,3d61ea4f8739bc45bc8bc88f1ef80d39e43b885a,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
legal/THIRD_PARTY_NOTICES.md,0362a428c6122ff5011b606d79b7a422732614cd,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
legal/aup.en.md,d1282d36e7e051f7e0a6f03bb87dcbc408c1378f,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
legal/aup.zh.md,a7bc104310199d037ae5552382a8d3ef1681079a,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
legal/privacy.en.md,5e03a4af6a90cfe682dec078980117e8108c9c65,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
legal/privacy.zh.md,d79ad6f9e6fb8ef48dba0460c1f28f83b7be006a,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
legal/refund.en.md,575ba19cdeaa1f30efa5503eba99321ccc3a5cd5,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
legal/refund.zh.md,7e715b3ac95bb826aa457a90be6ed9d74729b99c,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
legal/terms.en.md,a0d4f23f654ade2528da9f58f9187cda5186a8c2,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
legal/terms.zh.md,724e1402acecaaede8063eccd06a21d8082fca13,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
miniprogram/README.md,99a7b56e3e72f905dc930b6c7e1e75c27fbf3f99,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
miniprogram/app.js,69d26673597a7287f878e1e35dfc18132cfe2cb1,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
miniprogram/app.json,055cc72449352c3a5edb79b870f5020fa624d0fd,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
miniprogram/app.wxss,2a3f641959b6d972c989731fbc8bd09441ce899c,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
miniprogram/pages/about/about.js,471d5eb99c4cc78b193ef0ef0ca3cd256d49186b,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
miniprogram/pages/about/about.json,983b495a20ae1566e8d641ea7a1e1d8be9e04d84,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
miniprogram/pages/about/about.wxml,02b6d22258474fcc579d3b37dfcdc58c9b169bec,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
miniprogram/pages/about/about.wxss,26736186659e43d60850fc8858c011cdb74c8913,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
miniprogram/pages/index/index.js,bcdce648de45bac37f1f5e5e31304d3f2d4ec757,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
miniprogram/pages/index/index.json,220a73e33e1cecff45949712b084f258a843d83a,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
miniprogram/pages/index/index.wxml,dad39e51e60c11d72b3bdfbeca0ac5ee12eb57db,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
miniprogram/pages/index/index.wxss,8408a5be3a831b4f17a4a6ba5cb5b6c85a421404,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
miniprogram/pages/webview/webview.js,a92dc6da205fcf0e28081a29581d966d7c6417b7,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
miniprogram/pages/webview/webview.json,1c3f59c27b4ecccfca6b8bfef1eab22e901d8ef8,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
miniprogram/pages/webview/webview.wxml,10d17f0287724f7fa0af936115ed0049e87db9a4,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
miniprogram/pages/webview/webview.wxss,0c8b8fdb158587d22afceadc488664d9a9034b49,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
miniprogram/project.config.json,ce0eb36c93b95fb5fe23096479ade5f8866b031b,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
miniprogram/sitemap.json,83843959b7183f0b07f0425285c0c43b2aa06cce,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/.gitignore,0f3a96b516c28532e8f29b92802def36b20af6c4,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/README.md,dbdd222fd14b9d2f1820e6a15cfbb398c6eeb75c,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/.gitignore,48354a3dfc4ad41c5c7af1451315d335cda7d611,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/.gitignore,043df802a29f1f386a23cba600c84be8eee2a0c6,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/build.gradle,bfbddf455a7534236bf733925d38ad316dd15c87,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/capacitor.build.gradle,fdb4970c41fb603c82f2d24f4b46f307d8996605,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/proguard-rules.pro,f1b424510da51fd82143bc74a0a801ae5a1e2fcd,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/androidTest/java/com/getcapacitor/myapp/ExampleInstrumentedTest.java,f2c2217efa5a746f23ea722450a40fe0ca3db099,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/AndroidManifest.xml,fc6704a6340e8a133c55378718b8dd3b1b9353df,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/java/ai/agentsdance/dshcloud/app/MainActivity.java,b94a3232b7ed3905b57d3274e483ecc12bf3dcac,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/drawable-land-hdpi/splash.png,e31573b4fc93e60d171f4046c0220e1463075d9e,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/drawable-land-mdpi/splash.png,f7a64923ea1a0565d25fa139c176d6bf42184e48,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/drawable-land-xhdpi/splash.png,807725501bdd92e94e51e7b2b0006f69e0083a0b,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/drawable-land-xxhdpi/splash.png,14c6c8fe39fcd51a0414866ad28cbe8ff3acb060,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/drawable-land-xxxhdpi/splash.png,244ca2506dbe0fd8f6a05520ac7d1a629ea81438,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/drawable-port-hdpi/splash.png,74faaa583c8221c27a8cb822c3fbe218bafa3299,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/drawable-port-mdpi/splash.png,e944f4ad4e1ca1c8cf9a87b366acc01c4e5c1616,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/drawable-port-xhdpi/splash.png,564a82ff954aec267492467c0169a270c4e8fea9,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/drawable-port-xxhdpi/splash.png,bfabe6871a17a5e95b78fb30d49b7d2b4d2fe4c0,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/drawable-port-xxxhdpi/splash.png,6929071268eb03ee0f088142b6523566b78550e2,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/drawable-v24/ic_launcher_foreground.xml,c7bd21dbd86990cde81fea8abd3bf904b4546749,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/drawable/ic_launcher_background.xml,d5fccc538c179838bfdce779c26eebb4fa0b5ce9,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/drawable/splash.png,f7a64923ea1a0565d25fa139c176d6bf42184e48,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/layout/activity_main.xml,b5ad1387011da0894cc1d91f44f3bd77f5403f5d,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml,4ae7d12378f3c5b43e746a42a941127ddd5b9dde,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml,4ae7d12378f3c5b43e746a42a941127ddd5b9dde,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/mipmap-hdpi/ic_launcher.png,129c2337c2d01dba867c9e2d6a7d68e3352fe0e7,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/mipmap-hdpi/ic_launcher_background.png,89283c5b5c79509df74b315d2e83452fd36452ba,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/mipmap-hdpi/ic_launcher_foreground.png,5eaf852c8df47ccae97c7903b21aa513fd1959c8,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/mipmap-hdpi/ic_launcher_round.png,1c82b18c95f51dcda943708170b40cd0096ced40,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/mipmap-mdpi/ic_launcher.png,815f24c790fad00f4937e29cdb98de7189977acb,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/mipmap-mdpi/ic_launcher_background.png,88b21ad2b3b869fadaa571ffdf5015f01b232954,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/mipmap-mdpi/ic_launcher_foreground.png,83a517a9b93097ec7e6e9e742fb49a293e42fa5d,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/mipmap-mdpi/ic_launcher_round.png,ae4ba74882297b860bd4925888965b8b41234b11,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/mipmap-xhdpi/ic_launcher.png,ad70e2bd9aafd34cd9bbcfc022e44fdfd6c2c0f6,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/mipmap-xhdpi/ic_launcher_background.png,8e0dd2b17c6577e4158265cb3348ebccf61160ee,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/mipmap-xhdpi/ic_launcher_foreground.png,ffcd25221ce9544584245619db74ff92b92db7dd,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/mipmap-xhdpi/ic_launcher_round.png,15080d986f5ae4a00f58599c4a91b99b8d4a1348,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/mipmap-xxhdpi/ic_launcher.png,6580b5f3f306e26c2f6a569c700346c5aaab1dd1,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/mipmap-xxhdpi/ic_launcher_background.png,09e4a84cbb1e0301bb21d46480f225af0138a097,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/mipmap-xxhdpi/ic_launcher_foreground.png,5f3baec1b4ea214c4406a2f16ce30fae84f8405c,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/mipmap-xxhdpi/ic_launcher_round.png,26c4c99eea7d61ad5d1f8cd281c4602d39419b3f,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/mipmap-xxxhdpi/ic_launcher.png,cd4fb863dce51b886d8d3b0c9bdfa1846024c0af,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/mipmap-xxxhdpi/ic_launcher_background.png,06b1e88fb474b3e642456eac05724516fc246ede,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/mipmap-xxxhdpi/ic_launcher_foreground.png,4274b10b1285619213969900c6300fb667e6b058,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/mipmap-xxxhdpi/ic_launcher_round.png,2a2d501ba9cc4884ca4e479ee18aec7e5bfddd20,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/values/ic_launcher_background.xml,c5d5899fdf0a1b144bf341b29e0c66ba50bbcedd,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/values/strings.xml,e38cc31ca93b681d1bb3ea1d71e35bf96925bdba,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/values/styles.xml,be874e54a4a64059503427dbefeabcee2989549d,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
mobile/android/app/src/main/res/xml/file_paths.xml,bd0c4d80d0473953333d5adb0d38ac713d0d648b,evidence-required,not-established,repository-baseline:100644:945439f346a291722f8f0883e3c3c789d3c0463c,not-established,not-authorized,review-required
